LV_grid,LV_osmid,P_installed_kW
2703-23_0_4,28,4.277197911544889
2703-23_0_4,65,6.833564320222848
2703-23_0_4,67,5.142468709283168
2703-23_0_4,72,2.880241393021729
2703-23_0_4,100,1.897877238988212
2703-23_0_4,101,12.943098014542946
2703-23_0_4,104,4.519255088910393
2703-23_0_4,112,6.795033522518071
2703-23_0_4,125,13.259709419661975
2703-23_0_4,134,4.511681944859112
2703-23_0_4,144,1.5285157446655313
2703-23_0_4,146,6.357349029883309
2703-23_0_4,149,6.828216905254467
2703-23_0_4,157,8.910044839437338
2703-23_0_4,158,6.073138402649784
2703-23_0_4,163,2.901480483136333
2703-23_0_4,166,1.7897893065029074
2703-23_0_4,172,5.044303434093002
2703-23_0_4,175,7.71568048168383
2703-23_0_4,176,7.225819923504274
2703-23_0_4,181,18.730180576674616
